,MATCHDAY_NR,HOME,,,AWAY,
,1,SC Freiburg,,,Bayer Leverkusen,
,1,RB Leipzig,,,VfL Bochum,
,1,Borussia Dortmund,,,Eintracht Frankfurt,
,1,TSG 1899 Hoffenheim,,,Holstein Kiel,
,1,SC Freiburg,,,VfB Stuttgart,
,1,FC Augsburg,,,Werder Bremen,
,1,VfL Wolfsburg,,,FC Bayern München,
,1,1. FSV Mainz 05,,,1. FC Union Berlin,
,1,FC St. Pauli,,,1. FC Heidenheim 1846,
,2,Bayer Leverkusen,,,RB Leipzig,
,2,VfB Stuttgart,,,1. FSV Mainz 05,
,2,FC Bayern München,,,SC Freiburg,
,2,Eintracht Frankfurt,,,TSG 1899 Hoffenheim,
,2,1. FC Heidenheim 1846,,,FC Augsburg,
,2,Werder Bremen,,,Borussia Dortmund,
,2,1. FC Union Berlin,,,FC St. Pauli,
,2,VfL Bochum,,,Borussia Mönchengladbach,
,2,Holstein Kiel,,,VfL Wolfsburg,
,3,RB Leipzig,,,1. FC Union Berlin,
,3,Borussia Dortmund,,,1. FC Heidenheim 1846,
,3,TSG 1899 Hoffenheim,,,Bayer Leverkusen,
,3,SC Freiburg,,,VfL Bochum,
,3,FC Augsburg,,,FC St. Pauli,
,3,VfL Wolfsburg,,,Eintracht Frankfurt,
,3,1. FSV Mainz 05,,,Werder Bremen,
,3,Borussia Mönchengladbach,,,VfB Stuttgart,
,3,Holstein Kiel,,,FC Bayern München,
,4,Bayer Leverkusen,,,VfL Wolfsburg,
,4,VfB Stuttgart,,,Borussia Dortmund,
,4,Eintracht Frankfurt,,,Borussia Mönchengladbach,
,4,1. FC Heidenheim 1846,,,SC Freiburg,
,4,Werder Bremen,,,FC Bayern München,
,4,FC Augsburg,,,1. FSV Mainz 05,
,4,1. FC Union Berlin,,,TSG 1899 Hoffenheim,
,4,VfL Bochum,,,Holstein Kiel,
,4,FC St. Pauli,,,RB Leipzig,
,5,FC Bayern München,,,Bayer Leverkusen,
,5,RB Leipzig,,,FC Augsburg,
,5,Borussia Dortmund,,,VfL Bochum,
,5,TSG 1899 Hoffenheim,,,Werder Bremen,
,5,SC Freiburg,,,FC St. Pauli,
,5,VfL Wolfsburg,,,VfB Stuttgart,
,5,1. FSV Mainz 05,,,1. FC Heidenheim 1846,
,5,VfL Bochum,,,1. FC Union Berlin,
,5,Holstein Kiel,,,Eintracht Frankfurt,
,6,Bayer Leverkusen,,,Holstein Kiel,
,6,VfB Stuttgart,,,TSG 1899 Hoffenheim,
,6,Eintracht Frankfurt,,,FC Bayern München,
,6,1. FC Heidenheim 1846,,,RB Leipzig,
,6,Werder Bremen,,,SC Freiburg,
,6,FC Augsburg,,,Borussia Mönchengladbach,
,6,1. FC Union Berlin,,,Borussia Dortmund,
,6,VfL Bochum,,,VfL Wolfsburg,
,6,FC St. Pauli,,,1. FSV Mainz 05,
,7,Bayer Leverkusen,,,Eintracht Frankfurt,
,7,FC Bayern München,,,VfB Stuttgart,
,7,Borussia Dortmund,,,FC St. Pauli,
,7,TSG 1899 Hoffenheim,,,VfL Bochum,
,7,SC Freiburg,,,FC Augsburg,
,7,VfL Wolfsburg,,,Werder Bremen,
,7,1. FSV Mainz 05,,,RB Leipzig,
,7,Borussia Mönchengladbach,,,1. FC Heidenheim 1846,
,8,VfB Stuttgart,,,Holstein Kiel,
,8,RB Leipzig,,,SC Freiburg,
,8,1. FC Heidenheim 1846,,,TSG 1899 Hoffenheim,
,8,Werder Bremen,,,Bayer Leverkusen,
,8,FC Augsburg,,,Borussia Dortmund,
,8,1. FSV Mainz 05,,,Borussia Mönchengladbach,
,8,1. FC Union Berlin,,,Eintracht Frankfurt,
,8,VfL Bochum,,,FC Bayern München,
,8,FC St. Pauli,,,VfL Wolfsburg,
,9,Bayer Leverkusen,,,VfB Stuttgart,
,9,FC Bayern München,,,1. FC Union Berlin,
,9,Borussia Dortmund,,,RB Leipzig,
,9,Eintracht Frankfurt,,,VfL Bochum,
,9,TSG 1899 Hoffenheim,,,FC St. Pauli,
,9,SC Freiburg,,,1. FSV Mainz 05,
,9,Werder Bremen,,,FC Augsburg,
,9,Borussia Mönchengladbach,,,Werder Bremen,
,9,Holstein Kiel,,,1. FC Heidenheim 1846,
,10,VfB Stuttgart,,,Eintracht Frankfurt,
,10,RB Leipzig,,,Borussia Mönchengladbach,
,10,1. FC Heidenheim 1846,,,VfL Wolfsburg,
,10,Werder Bremen,,,Holstein Kiel,
,10,FC Augsburg,,,TSG 1899 Hoffenheim,
,10,1. FSV Mainz 05,,,Borussia Dortmund,
,10,1. FC Union Berlin,,,SC Freiburg,
,10,VfL Bochum,,,Bayer Leverkusen,
,10,FC St. Pauli,,,FC Bayern München,
,11,Bayer Leverkusen,,,1. FC Heidenheim 1846,
,11,VfB Stuttgart,,,VfL Bochum,
,11,FC Bayern München,,,FC Augsburg,
,11,Borussia Dortmund,,,SC Freiburg,
,11,Eintracht Frankfurt,,,Werder Bremen,
,11,TSG 1899 Hoffenheim,,,RB Leipzig,
,11,VfL Wolfsburg,,,1. FC Union Berlin,
,11,Borussia Mönchengladbach,,,FC St. Pauli,
,11,Holstein Kiel,,,1. FSV Mainz 05,
,12,RB Leipzig,,,VfL Wolfsburg,
,12,Borussia Dortmund,,,FC Bayern München,
,12,1. FC Heidenheim 1846,,,Eintracht Frankfurt,
,12,Werder Bremen,,,VfB Stuttgart,
,12,SC Freiburg,,,Borussia Mönchengladbach,
,12,FC Augsburg,,,VfL Bochum,
,12,1. FSV Mainz 05,,,TSG 1899 Hoffenheim,
,12,1. FC Union Berlin,,,Bayer Leverkusen,
,12,FC St. Pauli,,,Holstein Kiel,
,13,Bayer Leverkusen,,,FC St. Pauli,
,13,VfB Stuttgart,,,1. FC Union Berlin,
,13,FC Bayern München,,,1. FC Heidenheim 1846,
,13,Eintracht Frankfurt,,,FC Augsburg,
,13,TSG 1899 Hoffenheim,,,SC Freiburg,
,13,VfL Wolfsburg,,,1. FSV Mainz 05,
,13,Borussia Mönchengladbach,,,Borussia Dortmund,
,13,VfL Bochum,,,Werder Bremen,
,13,Holstein Kiel,,,RB Leipzig,
,14,RB Leipzig,,,Eintracht Frankfurt,
,14,Borussia Dortmund,,,TSG 1899 Hoffenheim,
,14,1. FC Heidenheim 1846,,,VfB Stuttgart,
,14,SC Freiburg,,,VfL Wolfsburg,
,14,FC Augsburg,,,Bayer Leverkusen,
,14,1. FSV Mainz 05,,,FC Bayern München,
,14,Borussia Mönchengladbach,,,Holstein Kiel,
,14,1. FC Union Berlin,,,VfL Bochum,
,14,FC St. Pauli,,,Werder Bremen,
,15,Bayer Leverkusen,,,SC Freiburg,
,15,VfB Stuttgart,,,FC St. Pauli,
,15,FC Bayern München,,,RB Leipzig,
,15,Eintracht Frankfurt,,,1. FSV Mainz 05,
,15,TSG 1899 Hoffenheim,,,Borussia Mönchengladbach,
,15,Werder Bremen,,,1. FC Union Berlin,
,15,VfL Wolfsburg,,,Borussia Dortmund,
,15,VfL Bochum,,,1. FC Heidenheim 1846,
,15,Holstein Kiel,,,FC Augsburg,
,16,RB Leipzig,,,Werder Bremen,
,16,Borussia Dortmund,,,Bayer Leverkusen,
,16,TSG 1899 Hoffenheim,,,VfL Wolfsburg,
,16,1. FC Heidenheim 1846,,,1. FC Union Berlin,
,16,SC Freiburg,,,Holstein Kiel,
,16,FC Augsburg,,,VfB Stuttgart,
,16,1. FSV Mainz 05,,,VfL Bochum,
,16,Borussia Mönchengladbach,,,FC Bayern München,
,16,FC St. Pauli,,,Eintracht Frankfurt,
,17,Bayer Leverkusen,,,1. FSV Mainz 05,
,17,VfB Stuttgart,,,RB Leipzig,
,17,FC Bayern München,,,TSG 1899 Hoffenheim,
,17,Eintracht Frankfurt,,,SC Freiburg,
,17,Werder Bremen,,,1. FC Heidenheim 1846,
,17,VfL Wolfsburg,,,Borussia Mönchengladbach,
,17,1. FC Union Berlin,,,FC Augsburg,
,17,VfL Bochum,,,FC St. Pauli,
,17,Holstein Kiel,,,Borussia Dortmund,
,18,Bayer Leverkusen,,,Borussia Mönchengladbach,
,18,VfB Stuttgart,,,SC Freiburg,
,18,FC Bayern München,,,VfL Wolfsburg,
,18,Eintracht Frankfurt,,,Borussia Dortmund,
,18,1. FC Heidenheim 1846,,,FC St. Pauli,
,18,Werder Bremen,,,FC Augsburg,
,18,1. FC Union Berlin,,,1. FSV Mainz 05,
,18,VfL Bochum,,,RB Leipzig,
,18,Holstein Kiel,,,TSG 1899 Hoffenheim,
,19,RB Leipzig,,,Bayer Leverkusen,
,19,Borussia Dortmund,,,Werder Bremen,
,19,TSG 1899 Hoffenheim,,,Eintracht Frankfurt,
,19,SC Freiburg,,,FC Bayern München,
,19,FC Augsburg,,,1. FC Heidenheim 1846,
,19,VfL Wolfsburg,,,Holstein Kiel,
,19,1. FSV Mainz 05,,,VfB Stuttgart,
,19,Borussia Mönchengladbach,,,VfL Bochum,
,19,FC St. Pauli,,,1. FC Union Berlin,
,20,Bayer Leverkusen,,,TSG 1899 Hoffenheim,
,20,VfB Stuttgart,,,Borussia Mönchengladbach,
,20,FC Bayern München,,,Holstein Kiel,
,20,Eintracht Frankfurt,,,VfL Wolfsburg,
,20,1. FC Heidenheim 1846,,,Borussia Dortmund,
,20,Werder Bremen,,,1. FSV Mainz 05,
,20,1. FC Union Berlin,,,RB Leipzig,
,20,VfL Bochum,,,SC Freiburg,
,20,FC St. Pauli,,,FC Augsburg,
,21,FC Bayern München,,,Werder Bremen,
,21,RB Leipzig,,,FC St. Pauli,
,21,Borussia Dortmund,,,VfB Stuttgart,
,21,TSG 1899 Hoffenheim,,,1. FC Union Berlin,
,21,SC Freiburg,,,1. FC Heidenheim 1846,
,21,VfL Wolfsburg,,,Bayer Leverkusen,
,21,1. FSV Mainz 05,,,FC Augsburg,
,21,Borussia Mönchengladbach,,,Eintracht Frankfurt,
,21,Holstein Kiel,,,VfL Bochum,
,22,,Bayer Leverkusen,,,FC Bayern München
,22,,VfB Stuttgart,,,VfL Wolfsburg
,22,,Eintracht Frankfurt,,,Holstein Kiel
,22,,1. FC Heidenheim 1846,,,1. FSV Mainz 05
,22,,Werder Bremen,,,TSG 1899 Hoffenheim
,22,,FC Augsburg,,,RB Leipzig
,22,,1. FC Union Berlin,,,Borussia Mönchengladbach
,22,,VfL Bochum,,,Borussia Dortmund
,22,,FC St. Pauli,,,SC Freiburg
,23,,FC Bayern München,,,Eintracht Frankfurt
,23,,RB Leipzig,,,1. FC Heidenheim 1846
,23,,Borussia Dortmund,,,1. FC Union Berlin
,23,,TSG 1899 Hoffenheim,,,VfB Stuttgart
,23,,SC Freiburg,,,Werder Bremen
,23,,VfL Wolfsburg,,,VfL Bochum
,23,,1. FSV Mainz 05,,,FC St. Pauli
,23,,Borussia Mönchengladbach,,,FC Augsburg
,23,,Holstein Kiel,,,Bayer Leverkusen
,24,VfB Stuttgart,,,FC Bayern München,
,24,RB Leipzig,,,1. FSV Mainz 05,
,24,Eintracht Frankfurt,,,Bayer Leverkusen,
,24,1. FC Heidenheim 1846,,,Borussia Mönchengladbach,
,24,Werder Bremen,,,VfL Wolfsburg,
,24,FC Augsburg,,,SC Freiburg,
,24,1. FC Union Berlin,,,Holstein Kiel,
,24,VfL Bochum,,,TSG 1899 Hoffenheim,
,24,FC St. Pauli,,,Borussia Dortmund,
,25,Bayer Leverkusen,,,Werder Bremen,
,25,FC Bayern München,,,VfL Bochum,
,25,Borussia Dortmund,,,FC Augsburg,
,25,Eintracht Frankfurt,,,1. FC Union Berlin,
,25,TSG 1899 Hoffenheim,,,1. FC Heidenheim 1846,
,25,SC Freiburg,,,RB Leipzig,
,25,VfL Wolfsburg,,,FC St. Pauli,
,25,Borussia Mönchengladbach,,,1. FSV Mainz 05,
,25,Holstein Kiel,,,VfB Stuttgart,
,26,VfB Stuttgart,,,Bayer Leverkusen,
,26,RB Leipzig,,,Borussia Dortmund,
,26,1. FC Heidenheim 1846,,,Holstein Kiel,
,26,Werder Bremen,,,Borussia Mönchengladbach,
,26,FC Augsburg,,,VfL Wolfsburg,
,26,1. FSV Mainz 05,,,SC Freiburg,
,26,1. FC Union Berlin,,,FC Bayern München,
,26,VfL Bochum,,,Eintracht Frankfurt,
,26,FC St. Pauli,,,TSG 1899 Hoffenheim,
,27,Bayer Leverkusen,,,VfL Bochum,
,27,FC Bayern München,,,FC St. Pauli,
,27,Borussia Dortmund,,,1. FSV Mainz 05,
,27,Eintracht Frankfurt,,,VfB Stuttgart,
,27,TSG 1899 Hoffenheim,,,FC Augsburg,
,27,SC Freiburg,,,1. FC Union Berlin,
,27,VfL Wolfsburg,,,1. FC Heidenheim 1846,
,27,Borussia Mönchengladbach,,,RB Leipzig,
,27,Holstein Kiel,,,Werder Bremen,
,28,RB Leipzig,,,TSG 1899 Hoffenheim,
,28,1. FC Heidenheim 1846,,,Bayer Leverkusen,
,28,Werder Bremen,,,Eintracht Frankfurt,
,28,SC Freiburg,,,Borussia Dortmund,
,28,FC Augsburg,,,FC Bayern München,
,28,1. FSV Mainz 05,,,Holstein Kiel,
,28,1. FC Union Berlin,,,VfL Wolfsburg,
,28,VfL Bochum,,,VfB Stuttgart,
,28,FC St. Pauli,,,Borussia Mönchengladbach,
,29,Bayer Leverkusen,,,1. FC Union Berlin,
,29,VfB Stuttgart,,,Werder Bremen,
,29,FC Bayern München,,,Borussia Dortmund,
,29,Eintracht Frankfurt,,,1. FC Heidenheim 1846,
,29,TSG 1899 Hoffenheim,,,1. FSV Mainz 05,
,29,VfL Wolfsburg,,,RB Leipzig,
,29,Borussia Mönchengladbach,,,SC Freiburg,
,29,VfL Bochum,,,FC Augsburg,
,29,Holstein Kiel,,,FC St. Pauli,
,30,RB Leipzig,,,Holstein Kiel,
,30,Borussia Dortmund,,,Borussia Mönchengladbach,
,30,1. FC Heidenheim 1846,,,FC Bayern München,
,30,Werder Bremen,,,VfL Bochum,
,30,SC Freiburg,,,TSG 1899 Hoffenheim,
,30,FC Augsburg,,,Eintracht Frankfurt,
,30,1. FSV Mainz 05,,,VfL Wolfsburg,
,30,1. FC Union Berlin,,,VfB Stuttgart,
,30,FC St. Pauli,,,Bayer Leverkusen,
,31,Bayer Leverkusen,,,FC Augsburg,
,31,VfB Stuttgart,,,1. FC Heidenheim 1846,
,31,FC Bayern München,,,1. FSV Mainz 05,
,31,Eintracht Frankfurt,,,RB Leipzig,
,31,TSG 1899 Hoffenheim,,,Borussia Dortmund,
,31,Werder Bremen,,,FC St. Pauli,
,31,VfL Wolfsburg,,,SC Freiburg,
,31,VfL Bochum,,,1. FC Union Berlin,
,31,Holstein Kiel,,,Borussia Mönchengladbach,
,32,RB Leipzig,,,FC Bayern München,
,32,Borussia Dortmund,,,VfL Wolfsburg,
,32,1. FC Heidenheim 1846,,,VfL Bochum,
,32,SC Freiburg,,,Bayer Leverkusen,
,32,FC Augsburg,,,Holstein Kiel,
,32,1. FSV Mainz 05,,,Eintracht Frankfurt,
,32,Borussia Mönchengladbach,,,TSG 1899 Hoffenheim,
,32,1. FC Union Berlin,,,Werder Bremen,
,32,FC St. Pauli,,,VfB Stuttgart,
,33,Bayer Leverkusen,,,Borussia Dortmund,
,33,VfB Stuttgart,,,FC Augsburg,
,33,FC Bayern München,,,Borussia Mönchengladbach,
,33,Eintracht Frankfurt,,,FC St. Pauli,
,33,Werder Bremen,,,RB Leipzig,
,33,VfL Wolfsburg,,,TSG 1899 Hoffenheim,
,33,1. FC Union Berlin,,,1. FC Heidenheim 1846,
,33,VfL Bochum,,,1. FSV Mainz 05,
,33,Holstein Kiel,,,SC Freiburg,
,34,RB Leipzig,,,VfB Stuttgart,
,34,Borussia Dortmund,,,Holstein Kiel,
,34,TSG 1899 Hoffenheim,,,FC Bayern München,
,34,1. FC Heidenheim 1846,,,Werder Bremen,
,34,SC Freiburg,,,Eintracht Frankfurt,
,34,FC Augsburg,,,1. FC Union Berlin,
,34,1. FSV Mainz 05,,,Bayer Leverkusen,
,34,Borussia Mönchengladbach,,,VfL Wolfsburg,
,34,FC St. Pauli,,,VfL Bochum,
